ID de Control,Nombre del Control,Descripción del Control,Comentario,Resultado,Guía de Remediación
c-am-f3e4d5c6-b7a8-4e5f-9c0d-1e2f3a4b5c6d,Mejores Prácticas de Autenticación,Asegurar que solo usuarios legítimos puedan acceder al sistema.,"El resultado es NO CUMPLE porque el sistema permite explícitamente la carga de archivos sin autenticación ('cualquiera puede subir archivos sin autenticarse') con solo un plan futuro vago para agregar autenticación. Esto crea una superficie de ataque abierta donde cualquiera puede abusar del servicio de carga de archivos, consumir recursos y potencialmente subir contenido malicioso.",NO CUMPLE,"Para lograr el cumplimiento, implemente autenticación antes del despliegue en producción usando AWS IAM, Cognito o API keys con limitación de tasa. Como mínimo, requiera alguna forma de identificación del llamante para habilitar el seguimiento de abusos y el control de acceso."
c-am-a7b8c9d0-e1f2-4a5b-8c9d-0e1f2a3b4c5d,Mejores Prácticas de Registro de Auditoría,Asegurar que el sistema soporte el monitoreo de seguridad.,"El resultado es NO CUMPLE porque el documento indica explícitamente que los registros de acceso de S3 no están configurados y no se menciona el registro de cargas de usuarios, ejecuciones de Lambda o eventos de seguridad. Los usuarios pueden realizar acciones de consecuencia (subir archivos que desencadenan escaneos automáticos) y acceder a infraestructura sensible, sin embargo el sistema carece de capacidades de registro de auditoría necesarias para el monitoreo de seguridad.",NO CUMPLE,"Para lograr el cumplimiento, habilite el registro de acceso de S3 en ambos buckets, configure CloudWatch Logs para las ejecuciones de Lambda para capturar eventos de carga y resultados de escaneo, e implemente CloudTrail para registrar llamadas a la API. Asegúrese de que los registros capturen la identidad del usuario (o IP cuando no está autenticado), marcas de tiempo, metadatos de archivos y resultados de escaneo."
c-am-8e9f0a1b-2c3d-4e5f-9a0b-1c2d3e4f5a6b,Mejores Prácticas de Protección de la Información,Asegurar que los datos sensibles permanezcan confidenciales e inalterados.,"El resultado es NO CUMPLE porque el sistema almacena datos sensibles (claves API de VirusTotal, credenciales de AWS) en variables de entorno en texto plano, usa buckets de S3 públicos sin cifrado para el almacenamiento de archivos y transmite datos sin cifrado. El documento indica explícitamente 'No hay cifrado porque los archivos son temporales' y expone credenciales directamente en la configuración.",NO CUMPLE,"Para lograr el cumplimiento, almacene los secretos en AWS Secrets Manager o Parameter Store con cifrado, habilite el cifrado en reposo en los buckets de S3, elimine el acceso público de los buckets e implemente autenticación adecuada. Elimine inmediatamente las credenciales codificadas de las variables de entorno."
c-am-2b3c4d5e-6f7a-4b5c-8d9e-0f1a2b3c4d5e,Mejores Prácticas de Autorización,Asegurar que los sistemas sigan las mejores prácticas de autorización.,"El resultado es NO CUMPLE porque el sistema carece explícitamente de controles de acceso significativos, permitiendo que cualquiera suba archivos sin autenticación y usando configuraciones excesivamente permisivas. La función Lambda tiene permisos de administrador completos en lugar de mínimo privilegio, y los buckets de S3 están configurados como públicos sin diferenciación de usuarios.",NO CUMPLE,"Para lograr el cumplimiento, implemente autenticación de usuarios antes de la carga de archivos, aplique roles IAM de mínimo privilegio a la Lambda (eliminando los permisos de administrador) y restrinja el acceso a los buckets de S3 solo a usuarios autenticados."
c-am-3d4e5f6a-7b8c-4d4e-8f0a-1b2c3d4e5f6a,Mejores Prácticas de Seguridad por Defecto,Asegurar que la configuración predeterminada del sistema sea segura.,"El resultado es NO CUMPLE porque el sistema tiene configuraciones inseguras por defecto en múltiples componentes. El bucket de entrada de S3 es público por defecto, el cifrado está deshabilitado, el rol de Lambda tiene permisos de administrador y no se requiere autenticación para la carga de archivos.",NO CUMPLE,"Para lograr el cumplimiento, configure el bucket de S3 como privado por defecto y requiera acceso autenticado, habilite el cifrado en reposo, aplique permisos IAM de mínimo privilegio al rol de Lambda e implemente autenticación de usuarios antes de permitir la carga de archivos."
c-am-6b7c8d9e-0f1a-4b7c-9d0e-1f2a3b4c5d6e,Mejores Prácticas de Protección de Secretos,Asegurar que los secretos como las credenciales permanezcan confidenciales.,"El resultado es NO CUMPLE porque los secretos (clave API de VirusTotal y credenciales de AWS) están codificados en las variables de entorno de Lambda y expuestos en la documentación, la Lambda usa credenciales de AWS innecesarias en lugar de roles IAM, y no existe una política de rotación más allá de un recordatorio manual.",NO CUMPLE,"Para lograr el cumplimiento, use roles IAM para el acceso a AWS en lugar de credenciales codificadas, almacene la clave API de VirusTotal en AWS Secrets Manager con rotación automática y elimine todos los secretos de la documentación y las variables de entorno."
c-am-5c6d7e8f-9a0b-4c5d-8e9f-0a1b2c3d4e5f,Mejores Prácticas de Protección de Registros,Proteger la integridad y confidencialidad de los registros del sistema.,"El resultado es NO CUMPLE porque el documento indica explícitamente que los registros de acceso de S3 no están configurados, y las credenciales sensibles (claves API, claves de AWS) se almacenan en variables de entorno sin ninguna mención de mecanismos de redacción de registros. El sistema maneja información sensible pero no tiene estrategia de protección de registros.",NO CUMPLE,"Para lograr el cumplimiento, habilite el registro de acceso de S3 con políticas de retención adecuadas, implemente la redacción de datos sensibles como claves API y credenciales en los registros, y asegúrese de que los registros se almacenen en un lugar seguro con controles de acceso restringidos."
c-am-1a2b3c4d-5e6f-4a2b-9c0d-1e2f3a4b5c6d,Mejores Prácticas de Acceso Privilegiado,Asegurar que existan salvaguardas adecuadas para las funciones privilegiadas.,"El resultado es NO CUMPLE porque la función Lambda tiene permisos de administrador ('permisos de administrador') lo que viola los principios de mínimo privilegio, y no hay registro de auditoría configurado para las acciones administrativas (los registros de acceso de S3 no están configurados explícitamente).",NO CUMPLE,"Para lograr el cumplimiento, restrinja el rol de Lambda solo a los permisos específicos de S3 y SNS necesarios, habilite CloudTrail y el registro de acceso de S3 para todas las acciones administrativas, y elimine el elemento pendiente implementando acceso de mínimo privilegio antes de producción."
c-am-3aa7e710-f8e8-4617-92f0-a3b3c3965fae,Mejores Prácticas de Criptografía Confiable,Asegurar que solo se usen implementaciones criptográficas confiables.,"El resultado es NO CUMPLE porque el sistema almacena claves criptográficas sensibles (VIRUSTOTAL_API_KEY, credenciales de AWS) en variables de entorno en texto plano, lo que viola las prácticas adecuadas de gestión de claves. Además, los buckets de S3 tienen el cifrado explícitamente deshabilitado ('No hay cifrado porque los archivos son temporales'), sin usar cifrado para los datos en reposo.",NO CUMPLE,"Para lograr el cumplimiento, use AWS Secrets Manager o Parameter Store para las claves API y credenciales, habilite el cifrado de buckets de S3 (SSE-S3 o SSE-KMS) y elimine las credenciales codificadas de las variables de entorno."
c-am-0e1f2a3b-4c5d-4e1f-9a0b-1c2d3e4f5a6b,Mejores Prácticas de Aislamiento de Inquilinos,Asegurar la separación adecuada entre los inquilinos del sistema.,"El resultado es NO APLICA porque este es un servicio de carga de archivos de propósito único donde todos los usuarios comparten el mismo bucket e infraestructura sin ningún modelo de segregación por inquilino. El documento describe un sistema donde 'cualquiera puede subir archivos sin autenticación', lo que indica un modelo de acceso compartido en lugar de una arquitectura multi-inquilino con límites distintos.",NO APLICA,
