Control ID,Control Name,Control Description,Comment,Result,Remediation Guidance
c-am-8e9f0a1b-2c3d-4e5f-9a0b-1c2d3e4f5a6b,Information Protection Best Practices,Ensure sensitive data remains confidential and unaltered.,"The result is COMPLIANT because the system encrypts all sensitive data at rest using SSE-S3 for S3 buckets and AWS Secrets Manager for API keys, stores secrets securely without hardcoding, and implements access controls to prevent unauthorized modifications. The document clearly identifies sensitive data (uploaded files, API keys) and specifies encryption for storage with private bucket access preventing tampering.",COMPLIANT,
c-am-3d4e5f6a-7b8c-4d4e-8f0a-1b2c3d4e5f6a,Secure by Default Best Practices,Ensure the system's default configuration is secure.,"The result is COMPLIANT because the system explicitly configures all resources with secure defaults: S3 buckets are private with SSE-S3 encryption and access logging enabled from first deploy, Lambda functions use least-privilege IAM roles from the start, authentication is required before any operation, and secrets are stored in Secrets Manager rather than environment variables. The document clearly states these security features are enabled 'por defecto' and 'desde el primer deploy', demonstrating that security is the default state rather than an opt-in configuration.",COMPLIANT,
c-am-1a2b3c4d-5e6f-4a2b-9c0d-1e2f3a4b5c6d,Privileged Access Best Practices,Ensure there are adequate guardrails for privileged functions.,"The result is COMPLIANT because the system explicitly addresses privileged access through least-privilege IAM roles, removes administrative access (AdministratorAccess), and implements comprehensive audit logging via CloudTrail and CloudWatch with 90-day retention. The Lambda function role is scoped to specific resources with only necessary permissions, and all administrative actions are logged.",COMPLIANT,
c-am-0e1f2a3b-4c5d-4e1f-9a0b-1c2d3e4f5a6b,Tenant Isolation Best Practices,Ensure appropriate separation between system tenants.,The result is NOT_APPLICABLE because this system authenticates individual users through Cognito but does not describe a multi-tenant architecture where different organizations or customer groups share infrastructure. The document describes user-level isolation (authenticated users uploading their own files) rather than tenant-level isolation between separate customer organizations.,NOT_APPLICABLE,
c-am-5c6d7e8f-9a0b-4c5d-8e9f-0a1b2c3d4e5f,Log Protection Best Practices,Protect the integrity and confidentiality of system logs.,"The result is COMPLIANT because the system implements comprehensive log protection including CloudWatch Logs with 90-day retention, restricted access controls, and automatic redaction of API keys and credentials. The document explicitly addresses all key aspects: secure storage (CloudWatch), retention policy (90 days), access restrictions, and sensitive data redaction.",COMPLIANT,
c-am-6b7c8d9e-0f1a-4b7c-9d0e-1f2a3b4c5d6e,Secret Protection Best Practices,Ensure that secrets like credentials remain confidential.,"The result is COMPLIANT because the system stores the VirusTotal API key in AWS Secrets Manager with automatic rotation enabled, avoids hardcoding credentials in code or environment variables, and uses IAM roles for AWS service authentication. The document explicitly addresses all key aspects: secret storage (Secrets Manager), rotation policy (automatic), and minimization of secrets by using IAM roles instead of creating additional credentials.",COMPLIANT,
c-am-f3e4d5c6-b7a8-4e5f-9c0d-1e2f3a4b5c6d,Authentication Best Practices,Ensure only legitimate users can access the system.,"The result is COMPLIANT because the system implements Amazon Cognito User Pool for user authentication with JWT tokens required for all file uploads. The document clearly describes that uploads require valid JWT tokens from authenticated users, and the authentication mechanism is appropriate for a file upload service with multiple users.",COMPLIANT,
c-am-2b3c4d5e-6f7a-4b5c-8d9e-0f1a2b3c4d5e,Authorization Best Practices,Ensure systems follow authorization best practices.,"The result is INSUFFICIENT_DATA because the document describes authentication (Cognito JWT) and IAM permissions for Lambda functions, but does not specify what different authenticated users can do or whether all authenticated users have identical access. The system distinguishes authenticated from unauthenticated users, but it's unclear if there are different user roles, whether all authenticated users can upload any file, or if there are restrictions based on user identity or attributes.",INSUFFICIENT_DATA,"To clarify, you can document whether all authenticated users have the same permissions or if there are different user roles (e.g., admin vs regular user), and specify any per-user access controls such as upload quotas, file ownership restrictions, or ability to access only their own uploaded files."
c-am-3aa7e710-f8e8-4617-92f0-a3b3c3965fae,Trusted Cryptography Best Practices,Ensure only trustworthy cryptographic implementations are used.,"The result is COMPLIANT because the system uses AWS-managed cryptographic services (SSE-S3 for encryption and Secrets Manager for key management) rather than custom implementations. These are established, trustworthy cryptographic services that employ strong modern algorithms with proper key management.",COMPLIANT,
c-am-a7b8c9d0-e1f2-4a5b-8c9d-0e1f2a3b4c5d,Audit Logging Best Practices,Ensure the system supports security monitoring.,"The result is INSUFFICIENT_DATA because while the document mentions CloudTrail for API calls and CloudWatch Logs for Lambda executions with 90-day retention, it doesn't specify what security-critical events are actually logged (e.g., authentication attempts, authorization failures, file access patterns). The document states logs have 'redacción automática' but doesn't describe what information is captured for each event type or how logging completeness is ensured.",INSUFFICIENT_DATA,"To clarify, specify what security events are logged (authentication successes/failures, authorization denials, S3 object access, Lambda invocations with user context), what fields each log entry contains (timestamp, user identity, action, resource, outcome), and how you ensure no logging gaps exist."
